date,review,rating,isEdited,title,userName,sentiment
2022-01-26 03:56:23,Good,5,False,Fine star,shamima aktar,0.7
2021-09-22 22:25:01,"This app is not provided for everyone , when you are going to start , it will ask you , your preferred language. Im Persian. This app, ignored Persian nation. This is can be a discrimination. So I deleted your app.",1,False,Discrimination,samahdi,0.0
2020-08-10 10:01:16,"its a very good app for learning english but for pesians its useless,if you add persian to languages youll get a nice feedback because lots of iranians need l this app with these options very much! 
thanks you!",5,False,add persian,arsss78,0.43999999999999995
2020-07-01 04:53:11,"The audio is not functioning really well, teacher arent available and I need to cancel thing program and dont who talk to to be able to do it. Please, please I need a refund back due to your poor service",1,False,The audio is not functioning,crolinar,0.09583333333333334
2020-06-26 19:14:07,On the lesson 297 the 2nd exercise) The stupid app is not letting me do anything or to go to the next exercise. I tried of options and letting . Im about to delete the freaking app. Why theres not any option to skip or something,2,False,Ya yeah what you know!!!,cr7mayan,-0.26666666666666666
2020-03-30 01:00:05,please add persian to this app. l'd like stay home (corona) & learning enghilish. please help me,2,False,I'm iranian. I speak persian  why dident have persian,bahariii999,0.0
2020-01-16 06:14:01,"The last update is the worst, nothing open on the app, I removed it all and download it again and it even work as well.
Thanks",3,False,The last update,heisfusko,-0.2
2019-10-17 04:26:13,"After I finished 4 lessons, I cant go the next lesson. need a dollar to move to the next lesson. How to I used freely is app . Please .Please suggest me.",2,False,Give me the solution,somun shahadat,0.13333333333333333
2019-08-31 12:10:28,                                     ,3,False, ,rofayed,0.0
2019-07-26 05:06:00,I can clear my doubts thru this English learning app. Thank you,5,False,Amazing learning app for English,srinivasan edwerd,0.05000000000000001
2019-07-12 12:52:48,"I paid a quarterly plan 40,36 dollars and it wasn't made up to update on my app. I still don't get to be PRO after I pay for the value.",1,False,PRO,Josi Trevizan,0.0
2019-07-02 02:04:22,"Que da instale la app porque deca que tena unos das gratis, vaya que el da que la instale me sacaron 85 dlares de mi cuenta, llamo al banco y me explican que debo escribirle a uds, exijo que me devuelvan mi dinero porque sino me ver obligado a tomar acciones judiciales. Cuando me di cuenta que haba que pagar la desinstal, y dos das despus me doy cuenta que me haban sacado el dinero, necesito ver mi dinero en mi cuenta si no nos vamos de tribunales",4,False,Queja,nico090822,0.0
2019-05-29 13:28:49,"I can not even begin to use the app, it does not connect to my internet.  And I already tested with several different Wi-Fi and also with the one on the phone.  Nothing works",1,False,Nothing works,NathCarazza,0.0
2019-04-30 06:57:49,Subscribe price is very high. Cant unlock any lesson by coins without first lesson.,4,False,Very high price.,Md Rubal khan,0.229
2019-04-27 01:56:38,I have passed all the lessons suddenly you close the app it was not open. I am trying to open the new lesson but its not working.,5,False,Hello English.,usha mathur,0.03409090909090909
2019-04-25 23:39:29,It doesnt work!  I type my name and when I press next the application closes!,1,False,Bug!?!?!?,Patymountain,0.0
2019-04-02 20:04:29,"The music in conversation time is very loud
Is no good.",4,False,Music is no good.,junior henriques,-0.10999999999999999
2019-04-01 16:19:49,"The Stupid Product Manager!!!
you tell me Must update the latest APP. OK.  when I update the APP which breakdown and Cracked, again and again.
if you havent tested all the equipment, dont force your user update your APP, Please.",1,False,The Stupid Product Manager!!!,fads'popo,0.0
2019-01-28 16:20:37,"Its kind of cheating, even though I passed the test, message shows I can take the next level, but the level will be locked and wont open. 
It happens three times.",2,False,Not fair,ganesha123456,0.19999999999999998
2019-01-19 11:11:41,It is the best app for learning english. Thanks to the creator of this app for giving us this app.,5,False,Best App,Hasnahena Rifat,0.39999999999999997
2019-01-05 01:11:14,           ,5,False,,Alkhzama,0.0
2018-11-12 05:10:54,"App racist, I wanna to talk to anyone from this app or reply my comment if u can!!!",1,False,Racist app,klldsa,0.0
2018-10-20 04:51:20,Keep it up guys.All your hard working will be success ,5,False,Amazing app love you guys from Bangladesh,Md Misbah Ahmed,0.004166666666666652
2018-10-11 19:31:19,"     
 
  
 I am not Algerian
 I am not a Saudi
          ",5,False,,moad alameri,0.0
2018-09-19 22:33:31,No me permite pasar de la leccin 6 por qu al llegar a la 7 se ve solo la mitad y no hay forma de retroceder o continuar.,1,False,Ayuda por favor,estudiante triste,0.0
2018-07-06 17:22:45,"From last one month I checked that when I got any new notifications with app and moved with Helpline screen and trying to fetch new updates with that notification. Helpline screen is not updating with notification I think. I don't know what bid actual issue but I don't what to miss any new information that's it. Can you please check into the details to this issue.

Log in with hello English not working",4,False,Find a bug with notification,sensiparekh,0.06818181818181818
2018-06-28 10:45:13,ii loooove this app it is let me know a lot of things and it is easier ,5,False,the best app in the world,salmar221,0.0
2018-05-15 23:54:23,"It's very good
Thank you",5,False,Hello Engelshi,Zaid Al-Ameer,0.9099999999999999
2018-03-30 10:48:57,   ..       ..  ,2,False,  ,Aiysha ,0.0
2018-03-21 18:43:22,Ive been using all learning English apps to find which one is the best and finally find it,5,False,The best app ever,alkaraizi,0.3333333333333333
2018-02-06 14:36:00,I love it,5,False,Awesome,126sirajul,0.5
2017-10-29 18:21:23,But it isn't convention,3,False,Very good,"Riyad.,",0.0
2017-10-07 21:28:54,"La aplicacin me est presentando fallas. En mi caso desde la tarea 39.
Saludos",3,False,Fallas,rmachadodg,0.0
2017-10-06 13:04:50,You are have a problem in last update the program  when opening while Suddenly closed,5,False,Hello,  ,-0.05
2017-10-06 04:45:41,It would be great to have Thai language for Iphone too.,5,False,Great app,Pinarat,0.8
2017-09-09 13:46:44,I love it,5,False,It's amazing,Walied Abou Zahra,0.5
2017-07-14 13:06:47,ok hatalar var.soru ve cevap birbirini tutmuyor.kalplar var sonuta anlatm doru soruda yanl verilmi.mesela she does la kullanlr do ile deil.birde 51den sonra alacak diyor indirin 5-10kere indirdim almyor.ilerlemeye msaade etmiyor.maalesef iyiletirilmeye ihtiyac var.yaptm en kt uygulamayd,1,False,Deerlendirme,ingilizce maduru,0.5
2017-04-20 12:16:54,It is good app to learning any language,5,False,Good app for beginners,Anderson James as,0.7
2017-03-27 07:33:19,I really like this app,5,False,Amazing app,Rezaul Karim khan,0.2
2017-03-20 19:10:44,Good program ,5,False,,GTR_MONSTER,0.7
2017-03-12 18:18:59,Great spoken English app ever,5,False,Nice,Suhail spike,0.4
2017-03-10 05:04:51,,2,False,,,0.0
2017-03-06 04:40:43,,1,False,,,0.0
2017-02-10 05:11:55,"After a point, I couldn't use this app as it kept on asking to update the app even though the version of the app was latest.",1,False,Asks to update the app even though it's the latest version,Disha kkkk,0.5
2016-12-18 19:10:33,Nice app for learning,5,False,Nice,Extremo007-2012,0.6
2016-11-22 19:28:28,Its an outstanding effort to learn english. Keep it up..,5,False,As easy as water,e2jooy,0.25
2016-11-17 16:39:45,"It Helps me to learn English easily. Very useful for writing, here is perfect method reading, writing, listening and speaking.
If u practice regularly you will be able to learn English within few days.",5,False,Wonderful,Bakarxxxx1,0.24142857142857146
2016-10-24 20:40:15,"I believe its a very good app to increase ur English skills
But at the beginning when the app wanna see whats my English level its said ""check ur internet...""
Although im connected to internet and i cant start the app because of that",4,False,Internet problems,ABBAS A.B.A,0.3033333333333333
2016-10-24 02:40:42,I am not able to register on the ios application of hello english.It says my email Id is incorrect even though it is correct.I have already registered on your website with the same email id but not able to register on the application.Please solve my problem as early as possible.,1,False,One star because of I am not getting started,ashishcc,-0.08
2016-10-17 03:53:00,Fantastic!!,5,False,Fantastic,Jonas.santos2,0.625
2016-09-23 17:36:11,Thank you for releasing this app.,5,False,I'm already fan of this app.,RssRar_08,0.0
2016-09-22 17:18:50,Soooo good program.... thanks so much..,5,False,Jihad,Jihad775,0.36666666666666664
